"Restaurant.Name","BBL","Building.Number","Street","Borough","Postcode","Latitude","Longitude","Business.Address","Approved.for.Sidewalk.Seating","Approved.for.Roadway.Seating","Qualify.Alcohol","Time.of.Submission","GRADE","GRADE.DATE","CUISINE.DESCRIPTION","Time"
"THE BARLOW",3011670010,"446","PARK PLACE","Brooklyn",11238,40.675406,-73.962629,"446 PARK PLACE, Brooklyn, NY","yes","yes","yes","08/13/2020 10:23:00 AM","A",2020-02-13,"American","08/13/2020"
"HORTUS NYC",1008590003,"271","5TH AVE","Manhattan",10016,40.745553,-73.986651,"271 5TH AVE, Manhattan, NY","yes","yes","yes","06/22/2020 02:29:00 PM","A",2020-03-10,"Asian","06/22/2020"
"Campania coal fired pizza",5080080134,"240","Page ave","Staten Island",10307,40.518129,-74.234494,"240 Page ave, Staten Island, NY","yes","yes","yes","07/05/2020 02:35:00 PM","A",2020-03-03,"Hamburgers","07/05/2020"
"Black Tap",1004760019,"529","Broome Street","Manhattan",10013,40.723925,-74.004145,"529 Broome Street, Manhattan, NY","yes","yes","yes","07/22/2020 04:18:00 PM","A",2019-10-04,"American","07/22/2020"
"El Sason De Mi Abuela Corp",2037750007,"1561","Westchester Ave","Bronx",10472,40.828786,-73.877169,"1561  Westchester Ave, Bronx, NY","yes","yes","no","08/18/2020 04:11:00 PM","A",2019-04-10,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","08/18/2020"
"LA CHOZA DEL GORDO RESTAURANT",4006670001,"4105","NORTHERN BLVD","Queens",11101,40.752865,-73.9224,"4105 NORTHERN BLVD, Queens, NY","yes","no","yes","06/20/2020 09:58:00 PM","A",2019-09-25,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/20/2020"
"Snow Show Flushing Inc",4050377507,"13333","41 Ave","Queens",11355,40.757841,-73.830284,"13333 41 Ave, Queens, NY","yes","yes","no","08/18/2020 09:48:00 PM","N",2020-08-18,"Bakery","08/18/2020"
"Los Cabos cantina and restaurant",3009170004,"4015","5th ave","Brooklyn",11232,40.65056,-74.004627,"4015 5th ave , Brooklyn, NY","no","no","yes","07/17/2020 05:17:00 PM","A",2020-01-15,"Spanish","07/17/2020"
"Coney Island Taste",3071590251,"2580","Coney Island Ave","Brooklyn",11223,40.593932,-73.960871,"2580 Coney Island Ave, Brooklyn, NY","yes","no","yes","06/24/2020 01:13:00 PM","A",2019-10-24,"Peruvian","06/24/2020"
"Joseph Leonard",1005920048,"170","Waverly Place","Manhattan",10014,40.733658,-74.001577,"170 Waverly Place, Manhattan, NY","yes","yes","yes","07/09/2020 12:09:00 AM","A",2020-02-04,"American","07/09/2020"
"El Castillo De Jagua Restaurant",1004100051,"113","Rivington Street","Manhattan",10002,40.719904,-73.98781,"113 Rivington Street, Manhattan, NY","yes","yes","yes","06/23/2020 01:43:00 PM","A",2019-05-17,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/23/2020"
"Pad Thai Noodle Lounge",1007650001,"114","8th Avenue","Manhattan",10011,40.74083,-74.001725,"114  8th Avenue, Manhattan, NY","yes","yes","yes","07/01/2020 05:13:00 PM","A",2020-03-13,"Thai","07/01/2020"
"Pizzeria giove",5042190049,"278","New dorp ln","Staten Island",10306,40.57216,-74.112943,"278 New dorp ln, Staten Island, NY","no","no","yes","07/03/2020 01:00:00 PM","A",2019-08-08,"Italian","07/03/2020"
"Follia",1008970075,"179","3rd Avenue","Manhattan",10003,40.734972,-73.985945,"179  3rd Avenue, Manhattan, NY","no","yes","yes","06/21/2020 02:43:00 PM","A",2020-02-28,"Italian","06/21/2020"
"Q Town Asian Cusine Inc.",4015610034,"82-87","Broadway","Queens",11373,40.741521,-73.880559,"82-87 Broadway, Queens, NY","yes","yes","yes","07/20/2020 04:16:00 PM","A",2020-01-28,"Bakery","07/20/2020"
"BK9 Kitchen and Bar",3009320045,"62","5th Avenue","Brooklyn",11217,40.681149,-73.977264,"62 5th Avenue, Brooklyn, NY","no","no","yes","07/03/2020 03:56:00 PM","B",2020-03-09,"Caribbean","07/03/2020"
"Bailey's Corner",1015640029,"1607","York Ave","Manhattan",10028,40.775087,-73.947752,"1607 York Ave, Manhattan, NY","yes","no","yes","06/23/2020 02:23:00 PM","A",2019-05-16,"Irish","06/23/2020"
"new york canton lounge",1002010008,"70","mott street","Manhattan",10013,40.716246,-73.998103,"70 mott street, Manhattan, NY","no","yes","yes","07/10/2020 10:19:00 AM","Z",2019-10-25,"Chinese","07/10/2020"
"Gen",3011470001,"659","Washington Ave","Brooklyn",11238,40.677673,-73.963728,"659 Washington Ave, Brooklyn, NY","yes","yes","yes","07/11/2020 08:39:00 PM","A",2019-06-11,"Japanese","07/11/2020"
"Jin Ramen",1019957501,"3183","Broadway","Manhattan",10027,40.815274,-73.958602,"3183 Broadway, Manhattan, NY","yes","no","yes","06/25/2020 03:42:00 PM","B",2019-10-21,"Japanese","06/25/2020"
"Franks Pizza",3078890042,"2134","Flatbush Av","Brooklyn",11234,40.61777,-73.931569,"2134  Flatbush Av, Brooklyn, NY","yes","no","yes","06/24/2020 03:41:00 PM","A",2019-10-07,"Pizza","06/24/2020"
"Legends Restaurant & Bar",2038730001,"1735","E 172nd Street","Bronx",10472,40.832521,-73.869718,"1735 E 172nd Street, Bronx, NY","yes","no","yes","06/29/2020 01:25:00 PM","A",2020-01-30,"Pizza/Italian","06/29/2020"
"Ruffian Wine Bar",1004350040,"125","E 7th St","Manhattan",10009,40.726386,-73.984309,"125  E 7th St, Manhattan, NY","yes","yes","yes","06/22/2020 02:44:00 PM","A",2019-04-17,"Continental","06/22/2020"
"Spring Lounge",1004810022,"48","Spring Street","Manhattan",10012,40.721996,-73.996403,"48 Spring Street, Manhattan, NY","yes","yes","yes","07/01/2020 12:02:00 PM","A",2019-04-05,"American","07/01/2020"
"Glow Thai",3058910007,"7107","3rd Ave","Brooklyn",11209,40.633872,-74.026798,"7107 3rd Ave, Brooklyn, NY","yes","yes","yes","06/23/2020 08:38:00 PM","A",2020-02-26,"Thai","06/23/2020"
"Pierogi Boys",3001497501,"445","Albee Sq West","Brooklyn",11201,40.690833,-73.983452,"445 Albee Sq West, Brooklyn, NY","yes","no","yes","06/20/2020 07:04:00 PM","A",2020-03-10,"American","06/20/2020"
"FUYU RAMEN & SAKE",4001410047,"46-17","Queens blvd","Queens",11104,40.743135,-73.918449,"46-17 Queens blvd, Queens, NY","yes","yes","yes","08/10/2020 06:36:00 PM","A",2019-10-24,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","08/10/2020"
"Ducks Eatery",1004540045,"351","East 12th Street","Manhattan",10003,40.730515,-73.984702,"351 East 12th Street, Manhattan, NY","no","yes","yes","06/25/2020 09:04:00 AM","A",2019-08-22,"American","06/25/2020"
"GINO'S PIZZERIA RESTAURANT",1015460021,"345","E 83 ST","Manhattan",10028,40.77547,-73.952063,"345 E 83 ST, Manhattan, NY","yes","yes","yes","06/22/2020 08:48:00 AM","A",2019-06-18,"Pizza","06/22/2020"
"The Milling Room",1012127501,"446","COLUMBUS AVE","Manhattan",10024,40.78353,-73.97434,"446 COLUMBUS AVE, Manhattan, NY","yes","yes","yes","07/03/2020 04:57:00 PM","A",2019-11-14,"Italian","07/03/2020"
"Dï¿½Alessandroï¿½s Corner Grill",4062410001,"39-35","Bell Blvd","Queens",11361,40.764909,-73.771662,"39-35 Bell Blvd, Queens, NY","yes","no","yes","06/25/2020 05:23:00 PM","A",2020-03-05,"Ice Cream, Gelato, Yogurt, Ices","06/25/2020"
"wbnc restaurant management llc",1010580002,"688","10th avenue","Manhattan",10019,40.763565,-73.992589,"688 10th avenue, Manhattan, NY","yes","yes","yes","07/22/2020 12:50:00 PM","A",2020-01-07,"Mexican","07/22/2020"
"Endswell Bar & Bistro",3021170036,"773","Fulton St.","Brooklyn",11217,40.686047,-73.973758,"773 Fulton St., Brooklyn, NY","no","yes","yes","06/22/2020 02:41:00 PM","A",2020-02-08,"American","06/22/2020"
"Previti Pizza",1012960014,"123","East 41st Street","Manhattan",10168,40.750943,-73.976908,"123 East 41st Street, Manhattan, NY","yes","yes","yes","06/22/2020 09:53:00 AM","A",2019-12-27,"Juice, Smoothies, Fruit Salads","06/22/2020"
"The New York Beer Company",1010350017,"321","W 44th Street","Manhattan",10036,40.75889,-73.989669,"321 W 44th Street, Manhattan, NY","yes","yes","yes","06/20/2020 04:18:00 PM","A",2020-02-11,"American","06/20/2020"
"Bar Bruno",3003430023,"520","Henry Street","Brooklyn",11231,40.683374,-73.999784,"520 Henry Street, Brooklyn, NY","yes","yes","yes","08/07/2020 05:08:00 PM","A",2020-02-07,"Mexican","08/07/2020"
"GAETANAS",1006300024,"143","CHRISTOPHER STREET","Manhattan",10014,40.732829,-74.007693,"143  CHRISTOPHER STREET, Manhattan, NY","yes","yes","yes","06/20/2020 09:30:00 AM","A",2020-03-07,"American","06/20/2020"
"Panorama Restaurant",4010990055,"87-10","Astoria Blvd","Queens",11369,40.764147,-73.882056,"87-10 Astoria Blvd, Queens, NY","no","yes","no","08/24/2020 07:59:00 PM","A",2020-02-11,"Chinese","08/24/2020"
"Black Fox Coffee",1012810021,"45","East 45th","Manhattan",10017,40.754538,-73.977398,"45 East 45th, Manhattan, NY","yes","no","no","08/19/2020 11:40:00 AM","A",2020-03-05,"Pizza/Italian","08/19/2020"
"Cantina 33 Inc",4034510006,"5533","Myrtle Avenue","Queens",11385,40.699981,-73.907505,"5533  Myrtle Avenue , Queens, NY","yes","yes","yes","06/23/2020 02:00:00 PM","A",2020-02-15,"Peruvian","06/23/2020"
"Blue Ruin",1007630073,"538","9th Avenue","Manhattan",10018,40.756953,-73.993691,"538 9th Avenue, Manhattan, NY","yes","yes","yes","07/18/2020 01:58:00 PM","A",2020-02-07,"Pizza","07/18/2020"
"Erv's on Beekman",3050260095,"2122","Beekman Place","Brooklyn",11225,40.66001,-73.960825,"2122  Beekman Place, Brooklyn, NY","yes","yes","yes","06/20/2020 08:28:00 PM","A",2019-03-22,"American","06/20/2020"
"Attraversa Tribeca",1001780019,"225","West Broadway","Manhattan",10013,40.719303,-74.006241,"225 West Broadway, Manhattan, NY","yes","yes","yes","06/20/2020 12:59:00 PM","A",2020-01-24,"Italian","06/20/2020"
"DOS31 Cocina Bar",3024330033,"231","South 4th Street","Brooklyn",11212,40.710461,-73.959057,"231 South 4th Street, Brooklyn, NY","yes","yes","yes","06/21/2020 01:29:00 PM","A",2019-08-08,"Spanish","06/21/2020"
"La Contenta",1003530049,"102","Norfolk","Manhattan",10002,40.71882,-73.987125,"102 Norfolk , Manhattan, NY","no","yes","yes","06/20/2020 05:42:00 PM","A",2019-11-19,"American","06/20/2020"
"Katzs Delicatessen",1004120021,"205","East Houston St","Manhattan",10002,40.722511,-73.987301,"205 East Houston St, Manhattan, NY","yes","yes","yes","06/24/2020 04:14:00 PM","A",2020-01-17,"Delicatessen","06/24/2020"
"ADDICTIVE WINE & TAPAS",4014170047,"8701","NORTHERN BLVD","Queens",11372,40.756071,-73.880584,"8701 NORTHERN BLVD, Queens, NY","yes","no","yes","06/22/2020 10:07:00 AM","A",2019-10-25,"Tapas","06/22/2020"
"Kotti Berliner Doner Kebab",3001497501,"445","Albee Square West","Brooklyn",11238,40.690833,-73.983452,"445 Albee Square West, Brooklyn, NY","yes","no","yes","07/02/2020 11:42:00 AM","A",2020-03-10,"American","07/02/2020"
"Doe's Place",5052070039,"154","Mansion Ave","Staten Island",10308,40.544308,-74.140907,"154 Mansion Ave, Staten Island, NY","yes","yes","yes","06/20/2020 12:13:00 PM","A",2019-08-06,"Italian","06/20/2020"
"5 Ave Paragon LLC",1008320043,"290","5th Ave","Manhattan",10001,40.746234,-73.986181,"290 5th Ave, Manhattan, NY","yes","yes","yes","06/30/2020 11:41:00 AM","A",2019-07-02,"Korean","06/30/2020"
"Chez Moi",3002750017,"135","Atlantic ave","Brooklyn",11201,40.690577,-73.99555,"135  Atlantic ave, Brooklyn, NY","yes","yes","yes","06/20/2020 04:12:00 PM","A",2020-01-29,"French","06/20/2020"
"natsumi",1010210052,"226","w 50th st","Manhattan",10019,40.761668,-73.984651,"226 w 50th st, Manhattan, NY","yes","yes","yes","07/15/2020 12:09:00 PM","A",2020-01-14,"Japanese","07/15/2020"
"Daily Provisions",1011490061,"375","Amsterdam Avenue","Manhattan",10024,40.78237,-73.97888,"375  Amsterdam Avenue, Manhattan, NY","yes","yes","yes","07/07/2020 10:19:00 AM","N",2020-07-07,"American","07/07/2020"
"DAHUA RESTAURANT INC",4049770165,"36-40","UNION STREET","Queens",11354,40.763195,-73.82791,"36-40 UNION STREET, Queens, NY","yes","no","yes","06/22/2020 05:34:00 PM","A",2020-01-14,"Bakery","06/22/2020"
"PEARL RESTAURANT",4095680048,"131-03","LIBERTY AVE","Queens",11419,40.690136,-73.814695,"131-03  LIBERTY AVE, Queens, NY","yes","no","yes","07/29/2020 10:02:00 AM","A",2019-09-18,"Chinese","07/29/2020"
"Snowdonia",4006090008,"32-01","35th Ave","Queens",11106,40.757704,-73.927577,"32-01  35th Ave, Queens, NY","yes","yes","yes","06/23/2020 03:37:00 PM","A",2019-07-19,"English","06/23/2020"
"Little Owl",1005880006,"90","Bedford Street","Manhattan",10014,40.732217,-74.005315,"90  Bedford Street, Manhattan, NY","yes","no","yes","06/24/2020 04:20:00 PM","A",2020-02-25,"American","06/24/2020"
"El conde Nuevo",1021420237,"4139","Broadway","Manhattan",10033,40.846083,-73.938494,"4139 Broadway, Manhattan, NY","yes","yes","yes","06/21/2020 01:14:00 PM","A",2020-01-07,"Thai","06/21/2020"
"N Y TRACKS CAFE INC",3079550017,"1556","RALPH AVENUE","Brooklyn",11234,40.639037,-73.919347,"1556  RALPH AVENUE, Brooklyn, NY","yes","no","yes","06/25/2020 12:07:00 PM","A",2019-12-10,"Caribbean","06/25/2020"
"Arunee thai",4012780038,"78-23","37th ave","Queens",11372,40.749394,-73.887742,"78-23  37th ave, Queens, NY","yes","yes","yes","06/20/2020 06:50:00 PM","A",2019-08-26,"Thai","06/20/2020"
"338 E. 6TH REST. INC.",1004470025,"338","E 6th St","Manhattan",10003,40.726971,-73.987542,"338 E 6th St, Manhattan, NY","no","yes","yes","08/14/2020 04:27:00 PM","A",2019-10-02,"Ethiopian","08/14/2020"
"ETC eatery",1008630004,"341","5th avenue","Manhattan",10016,40.748023,-73.984849,"341  5th avenue, Manhattan, NY","yes","yes","yes","07/06/2020 03:00:00 PM","A",2020-01-10,"Delicatessen","07/06/2020"
"Threes Brewing",3004130033,"333","Douglass Street","Brooklyn",11217,40.679618,-73.982514,"333 Douglass Street, Brooklyn, NY","yes","yes","yes","07/07/2020 01:39:00 PM","A",2019-12-04,"American","07/07/2020"
"DIA",1004450003,"58","2ND AVE","Manhattan",10003,40.725775,-73.989718,"58 2ND AVE, Manhattan, NY","yes","yes","yes","06/24/2020 10:35:00 AM","A",2019-04-17,"Italian","06/24/2020"
"LENWICH",1011460030,"302","COLUMBUS AVE","Manhattan",10023,40.778917,-73.977707,"302  COLUMBUS AVE, Manhattan, NY","yes","yes","no","08/24/2020 01:17:00 PM","A",2019-10-21,"American","08/24/2020"
"Veranda Restaurant",4062750033,"208-01","Northern Boulevard","Queens",11361,40.758724,-73.775441,"208-01 Northern Boulevard, Queens, NY","yes","no","yes","06/25/2020 12:40:00 AM","A",2020-02-24,"American","06/25/2020"
"TROOST",3025220042,"1011","Manhattan Ave","Brooklyn",11222,40.733499,-73.954814,"1011  Manhattan Ave, Brooklyn, NY","no","yes","yes","08/03/2020 11:07:00 AM","A",2020-01-22,"American","08/03/2020"
"FAJITAS SUNRISE RESTAURANT CORP",4035870019,"59-24","MYRTLE AVENUE","Queens",11385,40.700507,-73.898813,"59-24 MYRTLE AVENUE, Queens, NY","yes","no","yes","06/21/2020 02:29:00 PM","A",2020-03-11,"Mexican","06/21/2020"
"No. 142 Bar",1005180037,"142","Sullivan Street","Manhattan",10012,40.726983,-74.001959,"142  Sullivan Street , Manhattan, NY","yes","yes","yes","07/13/2020 02:40:00 PM","A",2019-06-12,"American","07/13/2020"
"Sojourn",1014330029,"244","E79th st","Manhattan",10075,40.773836,-73.956259,"244 E79th st, Manhattan, NY","yes","yes","yes","06/20/2020 12:23:00 AM","A",2019-09-03,"Chinese","06/20/2020"
"Xime deli corp",2022820024,"448","East 138th st","Bronx",10454,40.80845,-73.921356,"448 East 138th st, Bronx, NY","yes","no","yes","06/23/2020 12:32:00 PM","A",2019-04-24,"Mexican","06/23/2020"
"riko peruvian cuisine",4001640001,"45-23","greenpoint ave","Queens",11104,40.741955,-73.919619,"45-23 greenpoint ave, Queens, NY","yes","no","yes","08/03/2020 09:59:00 PM","A",2020-02-14,"Peruvian","08/03/2020"
"Dive Bar",1012430035,"732","Amsterdam Avenue","Manhattan",10025,40.793839,-73.970537,"732 Amsterdam Avenue, Manhattan, NY","yes","no","yes","08/01/2020 01:12:00 PM","A",2019-11-25,"American","08/01/2020"
"Samurai Mama",3023810013,"205","Grand Street","Brooklyn",11211,40.714103,-73.960299,"205  Grand Street, Brooklyn, NY","yes","yes","yes","06/30/2020 04:23:00 PM","A",2019-10-28,"Japanese","06/30/2020"
"The Ranch Restaurant and Bar of Guyana",4095020046,"134-01","Liberty Ave","Queens",11420,40.691448,-73.812597,"134-01 Liberty Ave, Queens, NY","yes","no","yes","07/23/2020 08:39:00 PM","A",2020-03-16,"Caribbean","07/23/2020"
"Beso Restaurant and Bar",3016640052,"370","Lewis Ave","Brooklyn",11233,40.682931,-73.93505,"370 Lewis Ave, Brooklyn, NY","no","yes","yes","06/25/2020 02:47:00 PM","A",2020-01-14,"Caribbean","06/25/2020"
"Brooklyn Winery",3023130024,"213","North 8 Street","Brooklyn",11211,40.717184,-73.955182,"213 North 8 Street, Brooklyn, NY","yes","yes","yes","07/02/2020 05:07:00 PM","A",2020-02-29,"American","07/02/2020"
"Edo Japanese Restaurant",1008460010,"9","E 17th street","Manhattan",10003,40.737624,-73.991491,"9 E 17th street, Manhattan, NY","yes","yes","yes","08/19/2020 03:36:00 PM","A",2020-02-05,"Italian","08/19/2020"
"Gazalaï¿½s Restaurant",1012120001,"447","Amsterdam Avenue","Manhattan",10024,40.784722,-73.977167,"447 Amsterdam Avenue, Manhattan, NY","yes","yes","yes","07/20/2020 08:25:00 PM","A",2020-01-08,"Mediterranean","07/20/2020"
"Hotel Delmano",3023100023,"82","Berry Street","Brooklyn",11249,40.719663,-73.957918,"82 Berry Street, Brooklyn, NY","no","yes","yes","07/07/2020 01:02:00 PM","A",2019-05-17,"American","07/07/2020"
"La Fusta Restaurant",4015080001,"8032","Baxter Avenue","Queens",11373,40.744714,-73.88457,"8032 Baxter Avenue, Queens, NY","yes","yes","yes","06/27/2020 02:27:00 PM","A",2020-02-05,"Bakery","06/27/2020"
"Don Chucho",5003520047,"1112","Forest Ave","Staten Island",10310,40.626836,-74.127013,"1112 Forest Ave, Staten Island, NY","yes","yes","yes","08/18/2020 02:22:00 PM","A",2019-03-25,"Mexican","08/18/2020"
"Frankies 457 Spuntino",3004700005,"457","Court Street","Brooklyn",11231,40.677495,-73.998233,"457 Court Street, Brooklyn, NY","no","yes","yes","07/02/2020 04:38:00 PM","A",2019-06-24,"Italian","07/02/2020"
"Cornerstone Cafe",1003850001,"17","Ave. B","Manhattan",10009,40.722113,-73.983362,"17 Ave. B, Manhattan, NY","yes","yes","yes","06/25/2020 10:36:00 PM","A",2019-05-17,"American","06/25/2020"
"The Meatball Shop Upper East Side",1014510004,"1462","Second Ave","Manhattan",10075,40.771626,-73.95629,"1462 Second Ave, Manhattan, NY","yes","yes","yes","06/20/2020 03:41:00 PM","A",2019-06-06,"American","06/20/2020"
"Chingoo restsurant",3027540023,"373","Graham ave","Brooklyn",11211,40.715768,-73.944595,"373 Graham ave, Brooklyn, NY","yes","yes","yes","07/17/2020 01:48:00 PM","A",2020-01-14,"Korean","07/17/2020"
"SOFIA WINE BAR",1013230030,"242","E 50TH STREET","Manhattan",10022,40.75539,-73.969756,"242 E 50TH STREET, Manhattan, NY","yes","yes","yes","07/01/2020 09:13:00 PM","A",2019-03-06,"Pizza/Italian","07/01/2020"
"NOURISH",3011520005,"637A","VANDERBILT AVE","Brooklyn",11238,40.678042,-73.968714,"637A  VANDERBILT AVE, Brooklyn, NY","yes","yes","yes","06/20/2020 09:14:00 PM","B",2019-12-16,"Thai","06/20/2020"
"Local & Vine",1005790001,"282","Hudson Street","Manhattan",10013,40.725402,-74.007623,"282 Hudson Street, Manhattan, NY","yes","yes","yes","06/23/2020 03:37:00 PM","A",2020-01-17,"American","06/23/2020"
"Fratelli Restaurant",2044800001,"2507","Eastchester Road","Bronx",10469,40.86304,-73.843436,"2507 Eastchester Road, Bronx, NY","no","yes","yes","06/26/2020 10:20:00 PM","A",2019-08-21,"Italian","06/26/2020"
"Capizzi",1010500029,"547","9th avenue","Manhattan",10018,40.757365,-73.993416,"547  9th avenue , Manhattan, NY","yes","yes","yes","06/23/2020 01:42:00 PM","A",2019-02-26,"Pizza","06/23/2020"
"CATS ON THE BAY",3087790053,"2027","EMMONS AVE","Brooklyn",11235,40.583726,-73.947232,"2027 EMMONS AVE, Brooklyn, NY","yes","yes","yes","06/24/2020 03:59:00 PM","A",2019-09-10,"French","06/24/2020"
"Tao Downtown",1007400001,"369","West 16th Street","Manhattan",10011,40.741854,-74.003367,"369 West 16th Street, Manhattan, NY","yes","yes","yes","07/23/2020 08:22:00 PM","A",2020-02-28,"Steak","07/23/2020"
"TAQUERIA LA IGUANA CORP",3031580027,"146","KNICKERBOCKER AVE","Brooklyn",11237,40.704426,-73.928241,"146 KNICKERBOCKER AVE, Brooklyn, NY","yes","yes","yes","07/30/2020 12:47:00 PM","A",2019-08-27,"American","07/30/2020"
"Il Fiorista",1008280022,"17","west 26th st","Manhattan",10010,40.744019,-73.98952,"17 west 26th st , Manhattan, NY","yes","yes","yes","06/22/2020 02:15:00 PM","A",2020-01-16,"Mediterranean","06/22/2020"
"Cochecton Cheese Inc",1007480001,"236","Ninth Ave","Manhattan",10001,40.747366,-74.000678,"236 Ninth Ave, Manhattan, NY","yes","no","yes","06/30/2020 03:19:00 PM","A",2019-12-26,"Spanish","06/30/2020"
"Mi Ranchito Mexican Restaurant Inc",1021540069,"1468","St Nicholas Avenue","Manhattan",10033,40.850819,-73.932623,"1468  St Nicholas Avenue, Manhattan, NY","yes","yes","yes","06/24/2020 03:55:00 PM","A",2019-07-02,"Mexican","06/24/2020"
"gardenia terrace",1010640061,"826","10th avenue","Manhattan",10019,40.767621,-73.989635,"826  10th avenue , Manhattan, NY","yes","yes","yes","06/24/2020 05:10:00 PM","A",2019-03-21,"Mediterranean","06/24/2020"
"Cream Ridgewood",4035080045,"59-09","71st ave","Queens",11385,40.700606,-73.89944,"59-09 71st ave, Queens, NY","yes","no","yes","06/26/2020 05:25:00 PM","Z",2020-02-19,"American","06/26/2020"
"Hao Noodle LLC",1007380013,"343","West 14th Street","Manhattan",10014,40.740575,-74.004449,"343 West 14th Street, Manhattan, NY","yes","no","yes","06/23/2020 06:15:00 PM","A",2019-10-29,"Chinese","06/23/2020"
"Noblesse House",4050560020,"149-38","41st Ave","Queens",11355,40.762403,-73.814599,"149-38  41st Ave, Queens, NY","yes","yes","yes","07/16/2020 11:35:00 AM","A",2019-10-24,"Korean","07/16/2020"
"Bocaito",4011770038,"81-15","Northern Blvd","Queens",11372,40.755494,-73.886067,"81-15  Northern Blvd, Queens, NY","yes","yes","yes","06/20/2020 03:43:00 PM","A",2019-10-02,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/20/2020"
"LOS TRES POTRILLOS RESTAURANT BAR INC",3007040043,"1004","4TH AVENUE","Brooklyn",11232,40.652701,-74.006101,"1004 4TH AVENUE , Brooklyn, NY","yes","no","yes","07/06/2020 09:43:00 PM","A",2019-06-04,"Mexican","07/06/2020"
"Angelo's Pizza",1010250043,"1697","Broadway","Manhattan",10019,40.763676,-73.982665,"1697 Broadway, Manhattan, NY","yes","no","yes","06/24/2020 06:19:00 PM","A",2019-10-30,"Pizza","06/24/2020"
"Amaze",1013700001,"1066-1068","1 avenue","Manhattan",10022,40.759071,-73.962355,"1066-1068 1 avenue , Manhattan, NY","yes","yes","yes","07/01/2020 01:57:00 PM","A",2019-11-02,"American","07/01/2020"
"The Flower Shop",1004180048,"107","Eldridge Street","Manhattan",10002,40.718071,-73.99202,"107 Eldridge Street, Manhattan, NY","yes","no","yes","06/22/2020 04:12:00 PM","A",2019-03-29,"American","06/22/2020"
"sagitarios sports bar",4099750007,"13862","jamaica ave","Queens",11435,40.702528,-73.813824,"13862 jamaica ave, Queens, NY","no","yes","yes","07/22/2020 12:38:00 AM","N",2020-07-22,"Mexican","07/22/2020"
"Chela & Garnacha",4006060001,"33-09","36th Ave","Queens",11106,40.755764,-73.92798,"33-09 36th Ave, Queens, NY","yes","yes","yes","06/21/2020 01:50:00 PM","A",2019-06-14,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/21/2020"
"Paraiso Azteca Restaurant & Bar",4019770029,"10253","43rd Avenue","Queens",11368,40.747286,-73.862453,"10253  43rd Avenue, Queens, NY","yes","yes","yes","07/17/2020 01:00:00 PM","A",2019-03-20,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","07/17/2020"
"Nha Trang One",1001990005,"87","Baxter Street","Manhattan",10013,40.716841,-73.999737,"87  Baxter Street, Manhattan, NY","yes","no","yes","07/03/2020 03:00:00 PM","A",2019-07-29,"Vietnamese/Cambodian/Malaysia","07/03/2020"
"The Copper Still",1007710046,"206","7th Ave","Manhattan",10011,40.743303,-73.996232,"206 7th Ave, Manhattan, NY","yes","yes","yes","06/20/2020 12:27:00 PM","Z",2020-03-13,"Mediterranean","06/20/2020"
"LONESTAR bar and grill",3060510008,"8703-8705","5th ave","Brooklyn",11209,40.620757,-74.026836,"8703-8705 5th ave, Brooklyn, NY","yes","yes","yes","06/26/2020 09:44:00 AM","A",2019-07-17,"American","06/26/2020"
"Howl at the Moon Restaurant",2030670069,"585","E 189TH street","Bronx",10458,40.857607,-73.886438,"585  E 189TH street, Bronx, NY","yes","yes","yes","06/25/2020 04:17:00 PM","A",2019-10-08,"Pizza","06/25/2020"
"the blvd. restaurant & lounge",4047580145,"19-11","francis lewis blvd.","Queens",11357,40.780823,-73.802939,"19-11 francis lewis blvd., Queens, NY","yes","no","yes","06/21/2020 07:48:00 PM","A",2019-12-06,"American","06/21/2020"
"Corner House BBQ",5035920063,"100","Lincoln ave","Staten Island",10306,40.579745,-74.109381,"100 Lincoln ave, Staten Island, NY","no","yes","yes","07/25/2020 08:03:00 PM","A",2019-11-13,"American","07/25/2020"
"Azasu",1003490023,"49","Clinton St","Manhattan",10002,40.719744,-73.984744,"49 Clinton St, Manhattan, NY","yes","no","yes","06/22/2020 04:06:00 PM","A",2020-02-11,"Japanese","06/22/2020"
"Sake Bar Satsko",1003890019,"202","East 7th St","Manhattan",10009,40.724687,-73.980316,"202 East 7th St, Manhattan, NY","yes","yes","yes","06/23/2020 01:48:00 PM","A",2020-02-18,"Japanese","06/23/2020"
"Quijote  Tapas bar Inc",4006000028,"31 06","36 ave","Queens",11106,40.756503,-73.929604,"31 06 36 ave, Queens, NY","yes","no","yes","06/22/2020 02:41:00 PM","A",2020-02-04,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/22/2020"
"Myungsan",4052850034,"162-21","Depot rd","Queens",11358,40.762011,-73.803197,"162-21  Depot rd, Queens, NY","yes","yes","yes","06/25/2020 01:59:00 PM","A",2019-12-09,"Korean","06/25/2020"
